scenario,year,carbon_price_USD_tCO2,free_allocation_MtCO2,scope1_emissions_MtCO2,net_emissions_MtCO2,ets_cost_million_USD,marginal_carbon_cost_USD_tCO2,effective_carbon_price_USD_tCO2
NGFS_NDCs,2026,20,70.5,83.25,12.75,254.99999999999983,19.999999999999986,20
NGFS_NDCs,2027,25,66.0,80.19210000000001,14.19210000000001,354.80250000000007,24.999999999999986,25
NGFS_NDCs,2028,30,61.49999999999999,79.7762895,18.27628950000001,548.2886850000001,29.99999999999999,30
NGFS_NDCs,2029,35,57.0,79.36255805250002,22.36255805250002,782.6895318375003,34.999999999999986,35
NGFS_NDCs,2030,40,52.5,78.95089526223751,26.45089526223751,1058.0358104895,39.99999999999998,40
NGFS_NDCs,2031,43,51.00000000000001,78.54129078592632,27.541290785926314,1184.2755037948314,42.999999999999986,43
NGFS_NDCs,2032,46,49.5,78.13373433199669,28.633734331996692,1317.1517792718473,45.99999999999998,46
NGFS_NDCs,2033,49,48.0,77.7282156603367,29.7282156603367,1456.682567356498,48.999999999999986,49
NGFS_NDCs,2034,52,46.5,77.32472458203503,30.82472458203503,1602.8856782658208,51.99999999999997,52
NGFS_NDCs,2035,55,45.0,76.92325095912484,31.923250959124843,1755.7788027518657,54.99999999999997,55
NGFS_NDCs,2036,58,43.5,76.52378470432922,33.023784704329216,1915.379512851094,57.999999999999986,58
NGFS_NDCs,2037,61,42.00000000000001,76.12631578080757,34.126315780807566,2081.7052626292616,61.0,61
NGFS_NDCs,2038,64,40.5,75.73083420190353,35.230834201903534,2254.7733889218257,63.999999999999986,64
NGFS_NDCs,2039,67,39.0,75.33733003089404,36.33733003089404,2434.6011120699,67.0,67
NGFS_NDCs,2040,70,37.5,74.94579338073957,37.44579338073957,2621.2055366517698,70.0,70
NGFS_NDCs,2041,73,36.0,74.55621441383585,38.556214413835846,2814.603652210016,72.99999999999999,73
NGFS_NDCs,2042,76,34.5,74.16858334176666,39.66858334176666,3014.8123339742665,76.0,76
NGFS_NDCs,2043,79,33.0,73.78289042505781,40.782890425057815,3221.8483435795665,78.99999999999999,79
NGFS_NDCs,2044,82,31.5,73.39912597293257,41.899125972932566,3435.7283297804693,81.99999999999997,82
NGFS_NDCs,2045,85,30.0,73.01728034306788,43.01728034306788,3656.468829160769,84.99999999999997,85
NGFS_NDCs,2046,88,28.5,72.63734394135254,44.13734394135254,3884.0862668390237,88.0,88
NGFS_NDCs,2047,91,27.0,72.25930722164578,45.259307221645784,4118.596957169765,90.99999999999997,91
NGFS_NDCs,2048,94,25.500000000000004,71.88316068553755,46.38316068553755,4360.017104440528,93.99999999999997,94
NGFS_NDCs,2049,97,24.0,71.50889488210987,47.50889488210987,4608.362803564656,96.99999999999997,97
NGFS_NDCs,2050,100,22.5,71.13650040769932,48.636500407699316,4863.65004076993,99.99999999999996,100
